eje_x,eje_y,eje_z,timestamp
1192337.0,979523.0,0.0,1681201261725
1192715.0,979743.0,0.0,1681201261774
1193335.0,980127.0,0.0,1681201261823
1193803.0,981305.0,0.0,1681201261871
1194649.0,982127.0,0.0,1681201261919
1195371.0,982867.0,0.0,1681201261967
1195797.0,982675.0,0.0,1681201262016
1193763.0,981497.0,0.0,1681201262064
1192013.0,979761.0,0.0,1681201262112
1190679.0,978693.0,0.0,1681201262160
1189957.0,978045.0,0.0,1681201262209
1190241.0,978319.0,0.0,1681201262257
1190699.0,978319.0,0.0,1681201262305
1190985.0,978301.0,0.0,1681201262353
1191229.0,978821.0,0.0,1681201262402
1191443.0,980255.0,0.0,1681201262450
1190903.0,979871.0,0.0,1681201262498
1191167.0,980995.0,0.0,1681201262547
1190557.0,980849.0,0.0,1681201262595
1191585.0,980739.0,0.0,1681201262643
1191881.0,981587.0,0.0,1681201262691
1191839.0,981561.0,0.0,1681201262739
1190465.0,980301.0,0.0,1681201262788
1187819.0,978117.0,0.0,1681201262836
1186567.0,976601.0,0.0,1681201262884
1185367.0,976027.0,0.0,1681201262933
1184961.0,975679.0,0.0,1681201262981
1184309.0,975825.0,0.0,1681201263030
1183963.0,975597.0,0.0,1681201263078
1184095.0,975515.0,0.0,1681201263126
1184167.0,975879.0,0.0,1681201263174
1183779.0,975953.0,0.0,1681201263222
1183933.0,976017.0,0.0,1681201263271
1184085.0,976383.0,0.0,1681201263319
1183799.0,976199.0,0.0,1681201263367
1184257.0,976465.0,0.0,1681201263415
1183963.0,976327.0,0.0,1681201263464
1182731.0,975351.0,0.0,1681201263513
1180105.0,973405.0,0.0,1681201263561
1178335.0,971753.0,0.0,1681201263609
1177521.0,970747.0,0.0,1681201263657
1177135.0,969497.0,0.0,1681201263705
1176147.0,969725.0,0.0,1681201263754
1175975.0,969587.0,0.0,1681201263802
1175151.0,969241.0,0.0,1681201263850
1175679.0,969643.0,0.0,1681201263898
1175619.0,969751.0,0.0,1681201263946
1175639.0,969861.0,0.0,1681201263995
1175975.0,969697.0,0.0,1681201264043
1176473.0,970327.0,0.0,1681201264091
1176249.0,970747.0,0.0,1681201264139
1176177.0,970931.0,0.0,1681201264187
1175353.0,970337.0,0.0,1681201264235
1173491.0,968465.0,0.0,1681201264283
1171415.0,967149.0,0.0,1681201264332
1169289.0,965249.0,0.0,1681201264380
1168047.0,964025.0,0.0,1681201264429
1167975.0,963633.0,0.0,1681201264476
1167345.0,964235.0,0.0,1681201264525
1167783.0,963871.0,0.0,1681201264573
1167925.0,964465.0,0.0,1681201264621
1167569.0,963897.0,0.0,1681201264669
1167803.0,964025.0,0.0,1681201264718
1167549.0,964565.0,0.0,1681201264766
1167355.0,964255.0,0.0,1681201264814
1167487.0,964501.0,0.0,1681201264862
1167415.0,964409.0,0.0,1681201264911
1167081.0,964619.0,0.0,1681201264959
1166479.0,964107.0,0.0,1681201265008
1164475.0,962537.0,0.0,1681201265056
1163417.0,960993.0,0.0,1681201265104
1161453.0,959697.0,0.0,1681201265152
1160669.0,958537.0,0.0,1681201265200
1160139.0,958949.0,0.0,1681201265248
1160659.0,958381.0,0.0,1681201265297
1160475.0,958701.0,0.0,1681201265345
1160273.0,958875.0,0.0,1681201265393
1160027.0,958839.0,0.0,1681201265442
1160119.0,958939.0,0.0,1681201265490
1160251.0,958701.0,0.0,1681201265538
1160191.0,959049.0,0.0,1681201265586
1160405.0,959011.0,0.0,1681201265635
1160567.0,959551.0,0.0,1681201265683
1159661.0,959597.0,0.0,1681201265731
1158359.0,958655.0,0.0,1681201265779
1157453.0,956885.0,0.0,1681201265827
1154827.0,955323.0,0.0,1681201265876
1153861.0,953367.0,0.0,1681201265924
1152691.0,952719.0,0.0,1681201265972
1152427.0,952509.0,0.0,1681201266020
1151969.0,951871.0,0.0,1681201266069
1151449.0,951807.0,0.0,1681201266117
1151703.0,951277.0,0.0,1681201266165
1151073.0,951697.0,0.0,1681201266213
1150859.0,950483.0,0.0,1681201266261
1151511.0,951213.0,0.0,1681201266309
1151185.0,950985.0,0.0,1681201266358
1150809.0,950993.0,0.0,1681201266406
1151267.0,951277.0,0.0,1681201266455
1151429.0,951195.0,0.0,1681201266503
1150493.0,950719.0,0.0,1681201266551
1148701.0,948975.0,0.0,1681201266599
1146981.0,947313.0,0.0,1681201266647
1145781.0,946081.0,0.0,1681201266695
1144591.0,944985.0,0.0,1681201266744
1144081.0,944765.0,0.0,1681201266792
1144153.0,944509.0,0.0,1681201266840
1143521.0,943743.0,0.0,1681201266889
1143399.0,943879.0,0.0,1681201266937
1143207.0,943953.0,0.0,1681201266985
1143175.0,943797.0,0.0,1681201267033
1143217.0,943559.0,0.0,1681201267082
1143185.0,943431.0,0.0,1681201267130
1143471.0,943221.0,0.0,1681201267178
1143531.0,943861.0,0.0,1681201267226
1142707.0,943861.0,0.0,1681201267274
1140987.0,942281.0,0.0,1681201267323
1139269.0,940601.0,0.0,1681201267371
1137589.0,938227.0,0.0,1681201267419
1136093.0,936609.0,0.0,1681201267468
1135035.0,935815.0,0.0,1681201267516
1136001.0,935385.0,0.0,1681201267564
1137009.0,935889.0,0.0,1681201267612
1139369.0,936747.0,0.0,1681201267660
1140195.0,937587.0,0.0,1681201267709
1141221.0,938125.0,0.0,1681201267757
1140815.0,938857.0,0.0,1681201267805
1141109.0,939285.0,0.0,1681201267854
1141711.0,939761.0,0.0,1681201267902
1142229.0,940519.0,0.0,1681201267950
1143217.0,941267.0,0.0,1681201267998
1143095.0,941039.0,0.0,1681201268046
1142159.0,940235.0,0.0,1681201268095
1140307.0,938811.0,0.0,1681201268143
1138373.0,937761.0,0.0,1681201268191
1138047.0,937221.0,0.0,1681201268240
1137863.0,937057.0,0.0,1681201268288
1137151.0,937047.0,0.0,1681201268336
1136713.0,937257.0,0.0,1681201268384
1137437.0,937633.0,0.0,1681201268433
1137365.0,937779.0,0.0,1681201268481
1137559.0,938043.0,0.0,1681201268529
1137945.0,938627.0,0.0,1681201268577
1138047.0,938363.0,0.0,1681201268625
1138007.0,938015.0,0.0,1681201268674
1138087.0,938683.0,0.0,1681201268722
1137111.0,937843.0,0.0,1681201268770
1135503.0,935761.0,0.0,1681201268818
1133711.0,934683.0,0.0,1681201268866
1131523.0,934043.0,0.0,1681201268915
1129835.0,931933.0,0.0,1681201268963
1129347.0,931505.0,0.0,1681201269011
1129193.0,930919.0,0.0,1681201269059
1129387.0,931011.0,0.0,1681201269108
1129123.0,930609.0,0.0,1681201269156
1129031.0,931149.0,0.0,1681201269205
1129459.0,931385.0,0.0,1681201269253
1129061.0,931633.0,0.0,1681201269300
1129011.0,931339.0,0.0,1681201269350
1128675.0,931121.0,0.0,1681201269398
1128655.0,931715.0,0.0,1681201269446
1127911.0,930819.0,0.0,1681201269494
1126557.0,929907.0,0.0,1681201269542
1124859.0,928025.0,0.0,1681201269590
1122833.0,926819.0,0.0,1681201269639
1121501.0,925321.0,0.0,1681201269687
1120981.0,925111.0,0.0,1681201269735
1120523.0,924957.0,0.0,1681201269784
1120441.0,924811.0,0.0,1681201269832
1120411.0,925193.0,0.0,1681201269880
1120697.0,924957.0,0.0,1681201269928
1120533.0,924665.0,0.0,1681201269976
1120421.0,924573.0,0.0,1681201270024
1120513.0,925085.0,0.0,1681201270073
1119587.0,924837.0,0.0,1681201270121
1119781.0,924563.0,0.0,1681201270169
1120025.0,924409.0,0.0,1681201270217
1119047.0,924225.0,0.0,1681201270266
1116839.0,922527.0,0.0,1681201270314
1115771.0,920765.0,0.0,1681201270362
1114469.0,919779.0,0.0,1681201270411
1113309.0,919531.0,0.0,1681201270459
1112585.0,919367.0,0.0,1681201270507
1112229.0,919147.0,0.0,1681201270555
1112147.0,918445.0,0.0,1681201270603
1111893.0,918737.0,0.0,1681201270652
1111721.0,918663.0,0.0,1681201270700
1111639.0,918079.0,0.0,1681201270749
1111965.0,918609.0,0.0,1681201270797
1111659.0,918389.0,0.0,1681201270845
1111547.0,918051.0,0.0,1681201270893
1110999.0,918135.0,0.0,1681201270942
1110275.0,917887.0,0.0,1681201270990
1108831.0,916399.0,0.0,1681201271038
1107049.0,914847.0,0.0,1681201271086
1106155.0,914353.0,0.0,1681201271134
1104973.0,913531.0,0.0,1681201271182
1104669.0,912947.0,0.0,1681201271231
1103609.0,913057.0,0.0,1681201271279
1104333.0,912765.0,0.0,1681201271327
1103487.0,912673.0,0.0,1681201271375
1103885.0,912791.0,0.0,1681201271424
1103967.0,912499.0,0.0,1681201271472
1103865.0,912573.0,0.0,1681201271520
1104251.0,912627.0,0.0,1681201271568
1103813.0,912033.0,0.0,1681201271616
1103457.0,912965.0,0.0,1681201271665
1103061.0,912033.0,0.0,1681201271713
1102083.0,911413.0,0.0,1681201271762
1101177.0,910133.0,0.0,1681201271810
1099621.0,908993.0,0.0,1681201271858
1098877.0,908115.0,0.0,1681201271906
1098563.0,907759.0,0.0,1681201271954
1098665.0,907705.0,0.0,1681201272003
1098329.0,907897.0,0.0,1681201272051
